DATA;VENDAS
14/02/18;132
15/02/18;149
16/02/18;130
17/02/18;174
18/02/18;185
19/02/18;121
20/02/18;110
21/02/18;105
22/02/18;129
23/02/18;143
24/02/18;201
25/02/18;224
26/02/18;154
27/02/18;161
28/02/18;116
01/03/18;116
02/03/18;109
03/03/18;124
04/03/18;139
05/03/18;107
06/03/18;116
07/03/18;139
08/03/18;150
09/03/18;168
10/03/18;131
11/03/18;146
12/03/18;
13/03/18;
14/03/18;
15/03/18;
16/03/18;
17/03/18;
18/03/18;
19/03/18;
20/03/18;
21/03/18;
22/03/18;
23/03/18;
24/03/18;
25/03/18;
26/03/18;
27/03/18;
28/03/18;
29/03/18;
30/03/18;0
31/03/18;
01/04/18;
02/04/18;
03/04/18;
04/04/18;
05/04/18;
06/04/18;
07/04/18;
08/04/18;
09/04/18;
10/04/18;
11/04/18;
12/04/18;
13/04/18;
14/04/18;
15/04/18;
16/04/18;
17/04/18;
18/04/18;
19/04/18;
20/04/18;
21/04/18;86
22/04/18;
23/04/18;
24/04/18;
25/04/18;
26/04/18;
27/04/18;
28/04/18;
29/04/18;
30/04/18;98
01/05/18;79
02/05/18;
03/05/18;
04/05/18;
05/05/18;
06/05/18;
07/05/18;
08/05/18;
09/05/18;189
10/05/18;206
11/05/18;230
12/05/18;206
13/05/18;225
14/05/18;140
15/05/18;127
16/05/18;
17/05/18;
18/05/18;
19/05/18;
20/05/18;
21/05/18;
22/05/18;
23/05/18;
24/05/18;
25/05/18;
26/05/18;
27/05/18;
28/05/18;
29/05/18;
30/05/18;
31/05/18;89
01/06/18;106
02/06/18;
03/06/18;
04/06/18;
05/06/18;
06/06/18;
07/06/18;
08/06/18;
09/06/18;
10/06/18;
11/06/18;
12/06/18;
13/06/18;
14/06/18;
15/06/18;
16/06/18;
17/06/18;
18/06/18;
19/06/18;
20/06/18;
21/06/18;
22/06/18;
23/06/18;
24/06/18;
25/06/18;
26/06/18;
27/06/18;
28/06/18;
29/06/18;
30/06/18;
01/07/18;
02/07/18;
03/07/18;
04/07/18;
05/07/18;
06/07/18;
07/07/18;
08/07/18;
09/07/18;
10/07/18;
11/07/18;
12/07/18;
13/07/18;
14/07/18;
15/07/18;
16/07/18;
17/07/18;
18/07/18;
19/07/18;
20/07/18;
21/07/18;
22/07/18;
23/07/18;
24/07/18;
25/07/18;
26/07/18;
27/07/18;
28/07/18;
29/07/18;
30/07/18;
31/07/18;
01/08/18;
02/08/18;
03/08/18;
04/08/18;
05/08/18;
06/08/18;
07/08/18;
08/08/18;164
09/08/18;154
10/08/18;186
11/08/18;170
12/08/18;153
13/08/18;139
14/08/18;106
15/08/18;
16/08/18;
17/08/18;
18/08/18;
19/08/18;
20/08/18;
21/08/18;
22/08/18;
23/08/18;
24/08/18;
25/08/18;
26/08/18;
27/08/18;
28/08/18;
29/08/18;
30/08/18;
31/08/18;
01/09/18;
02/09/18;
03/09/18;
04/09/18;
05/09/18;
06/09/18;
07/09/18;129
08/09/18;
09/09/18;
10/09/18;
11/09/18;
12/09/18;
13/09/18;
14/09/18;
15/09/18;
16/09/18;
17/09/18;
18/09/18;
19/09/18;
20/09/18;
21/09/18;
22/09/18;
23/09/18;
24/09/18;
25/09/18;
26/09/18;
27/09/18;
28/09/18;
29/09/18;
30/09/18;
01/10/18;
02/10/18;
03/10/18;
04/10/18;
05/10/18;
06/10/18;
07/10/18;
08/10/18;
09/10/18;
10/10/18;
11/10/18;
12/10/18;69
13/10/18;
14/10/18;
15/10/18;
16/10/18;
17/10/18;
18/10/18;
19/10/18;
20/10/18;
21/10/18;
22/10/18;
23/10/18;
24/10/18;
25/10/18;
26/10/18;
27/10/18;
28/10/18;
29/10/18;
30/10/18;
31/10/18;
01/11/18;
02/11/18;0
03/11/18;
04/11/18;
05/11/18;
06/11/18;
07/11/18;
08/11/18;
09/11/18;
10/11/18;
11/11/18;
12/11/18;
13/11/18;
14/11/18;
15/11/18;103
16/11/18;89
17/11/18;
18/11/18;
19/11/18;
20/11/18;
21/11/18;
22/11/18;
23/11/18;
24/11/18;
25/11/18;
26/11/18;
27/11/18;
28/11/18;
29/11/18;
30/11/18;
01/12/18;
02/12/18;
03/12/18;
04/12/18;
05/12/18;
06/12/18;
07/12/18;
08/12/18;
09/12/18;
10/12/18;
11/12/18;
12/12/18;
13/12/18;
14/12/18;
15/12/18;
16/12/18;
17/12/18;
18/12/18;
19/12/18;
20/12/18;
21/12/18;164
22/12/18;239
23/12/18;261
24/12/18;229
25/12/18;0
26/12/18;139
27/12/18;108
28/12/18;126
29/12/18;0
30/12/18;0
31/12/18;0
01/01/19;0
02/01/19;87
03/01/19;99
04/01/19;
05/01/19;
06/01/19;
07/01/19;
08/01/19;
09/01/19;
10/01/19;
11/01/19;
12/01/19;
13/01/19;
14/01/19;
15/01/19;
16/01/19;
17/01/19;
18/01/19;
19/01/19;
20/01/19;
21/01/19;
22/01/19;
23/01/19;
24/01/19;
25/01/19;
26/01/19;
27/01/19;
28/01/19;
29/01/19;
30/01/19;
31/01/19;
01/02/19;
02/02/19;
03/02/19;
04/02/19;
05/02/19;
06/02/19;
07/02/19;
08/02/19;
09/02/19;
10/02/19;
11/02/19;
12/02/19;
13/02/19;
14/02/19;
15/02/19;
16/02/19;
17/02/19;
18/02/19;
19/02/19;
20/02/19;
21/02/19;
22/02/19;
23/02/19;
24/02/19;
25/02/19;
26/02/19;
27/02/19;
28/02/19;
01/03/19;130
02/03/19;107
03/03/19;0
04/03/19;0
05/03/19;0
06/03/19;63
07/03/19;85
08/03/19;77
09/03/19;
10/03/19;
11/03/19;
12/03/19;
13/03/19;
14/03/19;
15/03/19;
16/03/19;
17/03/19;
18/03/19;
19/03/19;
20/03/19;
21/03/19;
22/03/19;
23/03/19;
24/03/19;
25/03/19;
26/03/19;
27/03/19;
28/03/19;
29/03/19;
30/03/19;
31/03/19;
01/04/19;
02/04/19;
03/04/19;
04/04/19;
05/04/19;
06/04/19;
07/04/19;
08/04/19;
09/04/19;
10/04/19;
11/04/19;
12/04/19;
13/04/19;
14/04/19;
15/04/19;
16/04/19;
17/04/19;
18/04/19;
19/04/19;0
20/04/19;
21/04/19;143
22/04/19;
23/04/19;
24/04/19;
25/04/19;
26/04/19;
27/04/19;
28/04/19;
29/04/19;
30/04/19;
01/05/19;90
02/05/19;
03/05/19;
04/05/19;
05/05/19;
06/05/19;
07/05/19;
08/05/19;179
09/05/19;189
10/05/19;204
11/05/19;160
12/05/19;174
13/05/19;113
14/05/19;100
15/05/19;
16/05/19;
17/05/19;
18/05/19;
19/05/19;
20/05/19;
21/05/19;
22/05/19;
23/05/19;
24/05/19;
25/05/19;
26/05/19;
27/05/19;
28/05/19;
29/05/19;
30/05/19;
31/05/19;
01/06/19;
02/06/19;
03/06/19;
04/06/19;
05/06/19;
06/06/19;
07/06/19;
08/06/19;
09/06/19;
10/06/19;
11/06/19;
12/06/19;
13/06/19;
14/06/19;
15/06/19;
16/06/19;
17/06/19;
18/06/19;
19/06/19;
20/06/19;113
21/06/19;128
22/06/19;
23/06/19;
24/06/19;
25/06/19;
26/06/19;
27/06/19;
28/06/19;
29/06/19;
30/06/19;
01/07/19;
02/07/19;
03/07/19;
04/07/19;
05/07/19;
06/07/19;
07/07/19;
08/07/19;
09/07/19;
10/07/19;
11/07/19;
12/07/19;
13/07/19;
14/07/19;
15/07/19;
16/07/19;
17/07/19;
18/07/19;
19/07/19;
20/07/19;
21/07/19;
22/07/19;
23/07/19;
24/07/19;
25/07/19;
26/07/19;
27/07/19;
28/07/19;
29/07/19;
30/07/19;
31/07/19;
01/08/19;
02/08/19;
03/08/19;
04/08/19;
05/08/19;
06/08/19;
07/08/19;159
08/08/19;116
09/08/19;138
10/08/19;143
11/08/19;159
12/08/19;119
13/08/19;78
14/08/19;
15/08/19;
16/08/19;
17/08/19;
18/08/19;
19/08/19;
20/08/19;
21/08/19;
22/08/19;
23/08/19;
24/08/19;
25/08/19;
26/08/19;
27/08/19;
28/08/19;
29/08/19;
30/08/19;
31/08/19;
01/09/19;
02/09/19;
03/09/19;
04/09/19;
05/09/19;
06/09/19;
07/09/19;81
08/09/19;
09/09/19;
10/09/19;
11/09/19;
12/09/19;
13/09/19;
14/09/19;
15/09/19;
16/09/19;
17/09/19;
18/09/19;
19/09/19;
20/09/19;
21/09/19;
22/09/19;
23/09/19;
24/09/19;
25/09/19;
26/09/19;
27/09/19;
28/09/19;
29/09/19;
30/09/19;
01/10/19;
02/10/19;
03/10/19;
04/10/19;
05/10/19;
06/10/19;
07/10/19;
08/10/19;
09/10/19;
10/10/19;
11/10/19;
12/10/19;94
13/10/19;
14/10/19;
15/10/19;
16/10/19;
17/10/19;
18/10/19;
19/10/19;
20/10/19;
21/10/19;
22/10/19;
23/10/19;
24/10/19;
25/10/19;
26/10/19;
27/10/19;
28/10/19;
29/10/19;
30/10/19;
31/10/19;
01/11/19;
02/11/19;0
03/11/19;
04/11/19;
05/11/19;
06/11/19;
07/11/19;
08/11/19;
09/11/19;
10/11/19;
11/11/19;
12/11/19;
13/11/19;
14/11/19;
15/11/19;64
16/11/19;
17/11/19;
18/11/19;
19/11/19;
20/11/19;
21/11/19;
22/11/19;
23/11/19;
24/11/19;
25/11/19;
26/11/19;
27/11/19;
28/11/19;
29/11/19;
30/11/19;
01/12/19;
02/12/19;
03/12/19;
04/12/19;
05/12/19;
06/12/19;
07/12/19;
08/12/19;
09/12/19;
10/12/19;
11/12/19;
12/12/19;
13/12/19;
14/12/19;
15/12/19;
16/12/19;
17/12/19;
18/12/19;
19/12/19;
20/12/19;
21/12/19;160
22/12/19;181
23/12/19;196
24/12/19;160
25/12/19;0
26/12/19;148
27/12/19;155
28/12/19;106
29/12/19;0
30/12/19;0
31/12/19;0
01/01/20;0
02/01/20;59
03/01/20;73
04/01/20;
05/01/20;
06/01/20;
07/01/20;
08/01/20;
09/01/20;
10/01/20;
11/01/20;
12/01/20;
13/01/20;
14/01/20;
15/01/20;
16/01/20;
17/01/20;
18/01/20;
19/01/20;
20/01/20;
21/01/20;
22/01/20;
23/01/20;
24/01/20;
25/01/20;
26/01/20;
27/01/20;
28/01/20;
29/01/20;
30/01/20;
31/01/20;
01/02/20;
02/02/20;
03/02/20;
04/02/20;
05/02/20;
06/02/20;
07/02/20;
08/02/20;
09/02/20;
10/02/20;
11/02/20;
12/02/20;
13/02/20;
14/02/20;
15/02/20;
16/02/20;
17/02/20;
18/02/20;
19/02/20;
20/02/20;110
21/02/20;96
22/02/20;79
23/02/20;89
24/02/20;0
25/02/20;0
26/02/20;86
27/02/20;99
28/02/20;
29/02/20;
01/03/20;
02/03/20;
03/03/20;
04/03/20;
05/03/20;
06/03/20;